R64,R32,S16,E8,F4,NCG
1Villanova-97.0%,1UVA-90.0%,1Villanova-74.4%,1Villanova-58.7%,1UVA-33.3%,1UVA-18.8%
1UVA-96.8%,1Villanova-88.3%,1Kansas-74.0%,1UVA-48.6%,1Villanova-31.8%,1Villanova-16.3%
1Xavier-96.7%,1Kansas-86.1%,2Purdue-59.1%,2UNC-34.5%,2Duke-17.5%,2Duke-9.8%
2Duke-96.1%,2UNC-85.6%,1UVA-59.0%,2Duke-30.2%,3Michigan State-16.4%,3Michigan State-8.6%
2UNC-96.0%,2Duke-84.2%,2UNC-55.6%,1Kansas-30.0%,2UNC-15.7%,1Kansas-7.9%
2Purdue-95.8%,3Michigan State-82.4%,2Cincinnati-53.1%,3Michigan State-28.5%,1Kansas-14.8%,2UNC-6.9%
1Kansas-95.3%,1Xavier-81.8%,2Duke-48.3%,1Xavier-21.6%,4Arizona-10.9%,4Arizona-4.9%
3Michigan State-94.0%,2Purdue-78.9%,1Xavier-47.8%,3Michigan-19.1%,1Xavier-8.2%,3Michigan-3.8%
3Michigan-93.5%,2Cincinnati-77.6%,3Michigan State-41.4%,2Purdue-18.8%,3Michigan-8.1%,1Xavier-3.5%
2Cincinnati-93.1%,3Michigan-74.6%,4Gonzaga-35.1%,4Arizona-17.9%,2Purdue-7.3%,2Purdue-3.3%
4Gonzaga-92.7%,4Gonzaga-69.6%,3Michigan-32.2%,4Gonzaga-14.6%,2Cincinnati-6.1%,2Cincinnati-2.5%
3Tennessee-90.8%,3Tennessee-64.4%,3Tennessee-27.7%,2Cincinnati-13.4%,4Gonzaga-5.5%,4Gonzaga-2.2%
4Arizona-90.4%,4Arizona-58.2%,4Arizona-23.2%,5Kentucky-8.2%,5Kentucky-4.0%,5Kentucky-2.0%
4Auburn-87.1%,3Texas Tech-55.3%,3Texas Tech-18.8%,5West Virginia-5.6%,3Tennessee-2.1%,3Tennessee-0.9%
4Wichita State-86.6%,4Auburn-50.4%,5Kentucky-12.3%,3Tennessee-5.5%,5West Virginia-1.7%,5West Virginia-0.8%
3Texas Tech-85.7%,5West Virginia-48.5%,6Florida-10.6%,3Texas Tech-4.6%,3Texas Tech-1.4%,3Texas Tech-0.6%
5West Virginia-82.8%,4Wichita State-43.3%,5West Virginia-10.5%,4Wichita State-3.8%,4Wichita State-1.2%,4Wichita State-0.5%
5Kentucky-79.6%,5Clemson-35.4%,4Auburn-10.4%,5OSU-2.7%,5OSU-1.0%,5OSU-0.5%
6Florida-78.1%,6Florida-34.0%,5OSU-8.6%,4Auburn-2.7%,4Auburn-1.0%,4Auburn-0.4%
5OSU-76.2%,5Kentucky-33.7%,6Miami-8.5%,6Florida-2.3%,6Florida-0.8%,6Florida-0.4%
6TCU-71.9%,5OSU-24.1%,4Wichita State-7.8%,5Clemson-1.8%,5Clemson-0.7%,9Alabama-0.3%
5Clemson-71.5%,6Miami-23.4%,5Clemson-6.8%,6Houston-1.8%,10Oklahoma-0.6%,10Oklahoma-0.3%
6Houston-66.5%,6Houston-17.1%,10Butler-5.3%,9Alabama-1.4%,9Alabama-0.5%,5Clemson-0.3%
6Miami-64.6%,10Butler-11.7%,6Houston-4.9%,6Miami-1.4%,6Houston-0.5%,6Miami-0.2%
10Butler-58.1%,10Texas-11.2%,10Texas-3.9%,10Oklahoma-1.1%,6Miami-0.5%,8Missouri-0.2%
8Creighton-56.5%,6TCU-10.9%,8Missouri-3.7%,8Missouri-1.1%,8Missouri-0.4%,6Houston-0.2%
10Texas-53.9%,12New Mexico State-10.7%,9NC State-3.1%,10Butler-1.1%,10Butler-0.4%,9NC State-0.2%
8Missouri-53.3%,8Missouri-9.9%,7Nevada-3.0%,6TCU-0.9%,9NC State-0.4%,16Penn-0.2%
9NC State-52.1%,11Loyola-Chicago-9.4%,7Arkansas-3.0%,8Virginia Tech-0.9%,8Virginia Tech-0.3%,8Virginia Tech-0.2%
7Texas A&M-50.6%,7Nevada-8.6%,9Alabama-2.9%,7Texas A&M-0.8%,10Texas-0.3%,10Texas-0.2%
8Virginia Tech-50.6%,7Arkansas-7.6%,6TCU-2.8%,9NC State-0.8%,16Penn-0.3%,10Butler-0.2%
7URI-50.6%,7URI-7.2%,8Seton Hall-2.6%,7URI-0.8%,6TCU-0.3%,11Syracuse-0.2%
10Oklahoma-49.4%,10Oklahoma-7.0%,10Oklahoma-2.5%,10Texas-0.8%,16UMBC-0.3%,7Arkansas-0.2%
9Alabama-49.4%,9Florida State-6.8%,7Texas A&M-2.3%,7Arkansas-0.8%,7Texas A&M-0.3%,6TCU-0.1%
10Providence-49.4%,9NC State-6.4%,9Florida State-2.3%,9Florida State-0.7%,7Arkansas-0.3%,7Texas A&M-0.1%
8Seton Hall-47.9%,7Texas A&M-6.3%,7URI-2.1%,10Providence-0.7%,7URI-0.3%,7URI-0.1%
9Florida State-46.7%,11St. Bonaventure-6.2%,10Providence-2.0%,8Seton Hall-0.7%,11Syracuse-0.3%,8Creighton-0.1%
7Nevada-46.1%,10Providence-6.2%,8Virginia Tech-2.0%,8Creighton-0.7%,9Florida State-0.3%,9Florida State-0.1%
9Kansas State-43.5%,11San Diego State-6.0%,11Loyola-Chicago-1.9%,16Penn-0.6%,8Creighton-0.3%,10Providence-0.1%
7Arkansas-41.9%,9Alabama-5.7%,8Creighton-1.6%,9Kansas State-0.6%,10Providence-0.3%,16UMBC-0.1%
11Loyola-Chicago-35.4%,8Seton Hall-5.4%,11San Diego State-1.4%,7Nevada-0.6%,8Seton Hall-0.3%,8Seton Hall-0.1%
11San Diego State-33.5%,12Davidson-5.1%,12New Mexico State-1.4%,11Syracuse-0.6%,9Kansas State-0.3%,9Kansas State-0.1%
12New Mexico State-28.5%,8Virginia Tech-4.6%,9Kansas State-1.3%,16UMBC-0.5%,7Nevada-0.2%,11Loyola-Chicago-0.1%
