Round of 64,Round of 32,Sweet 16,Elite 8,Final 4,Championship Game
1 Kansas - 99.6%,1 Kansas - 98.1%,1 Kansas - 90.3%,1 Kansas - 74.0%,1 Kansas - 59.3%,1 Kansas - 42.2%
1 Duke - 99.5%,1 Kentucky - 92.8%,1 Kentucky - 83.9%,1 Kentucky - 60.3%,1 Kentucky - 46.5%,1 Kentucky - 21.4%
1 Kentucky - 99.5%,2 West Virginia - 92.7%,1 Syracuse - 82.7%,1 Syracuse - 54.0%,2 West Virginia - 18.7%,1 Syracuse - 10.3%
1 Syracuse - 99.2%,1 Syracuse - 92.1%,2 West Virginia - 76.1%,1 Duke - 42.4%,1 Syracuse - 17.7%,1 Duke - 6.4%
2 Villanova - 99.2%,2 Villanova - 88.1%,1 Duke - 73.6%,2 Villanova - 33.3%,1 Duke - 16.9%,2 West Virginia - 4.7%
2 West Virginia - 99.0%,2 Kansas State - 86.5%,2 Kansas State - 62.6%,2 West Virginia - 29.6%,2 Villanova - 9.0%,2 Ohio State - 3.9%
2 Ohio State - 99.0%,2 Ohio State - 85.2%,2 Villanova - 58.5%,2 Kansas State - 29.1%,2 Ohio State - 7.5%,2 Villanova - 2.2%
2 Kansas State - 98.9%,1 Duke - 84.7%,2 Ohio State - 46.8%,3 Baylor - 14.6%,2 Kansas State - 5.4%,2 Kansas State - 1.7%
3 Baylor - 97.9%,3 Georgetown - 77.0%,3 Georgetown - 41.8%,2 Ohio State - 12.1%,3 Georgetown - 3.9%,3 Georgetown - 1.6%
3 Georgetown - 97.7%,3 Pittsburgh - 71.0%,3 Baylor - 30.6%,3 Pittsburgh - 9.1%,3 Baylor - 2.6%,5 Michigan State - 0.6%
3 Pittsburgh - 97.5%,3 Baylor - 69.8%,3 Pittsburgh - 25.7%,3 Georgetown - 7.9%,3 Pittsburgh - 1.7%,3 Pittsburgh - 0.5%
3 New Mexico - 95.8%,4 Wisconsin - 58.8%,3 New Mexico - 13.0%,4 Wisconsin - 2.8%,4 Wisconsin - 1.1%,3 Baylor - 0.5%
4 Wisconsin - 95.5%,3 New Mexico - 51.5%,5 Texas A&M; - 8.7%,3 New Mexico - 2.8%,5 Michigan State - 1.1%,4 Maryland - 0.4%
4 Maryland - 90.2%,5 Michigan State - 51.5%,9 Louisville - 8.2%,6 Notre Dame - 2.2%,3 New Mexico - 1.0%,4 Wisconsin - 0.4%
5 Michigan State - 90.2%,5 Texas A&M; - 46.7%,4 Wisconsin - 8.0%,9 Louisville - 2.2%,4 Maryland - 0.7%,8 Texas - 0.3%
6 Notre Dame - 82.8%,4 Maryland - 44.1%,6 Notre Dame - 7.6%,4 Purdue - 2.1%,8 Texas - 0.6%,3 New Mexico - 0.3%
4 Vanderbilt - 81.2%,4 Vanderbilt - 43.4%,6 Tennessee - 7.0%,5 Michigan State - 2.1%,9 Louisville - 0.6%,6 Tennessee - 0.3%
5 Texas A&M; - 78.8%,5 Butler - 39.6%,6 Marquette - 6.7%,4 Vanderbilt - 1.8%,4 Purdue - 0.5%,9 Louisville - 0.2%
6 Tennessee - 75.7%,6 Marquette - 38.9%,4 Purdue - 6.5%,5 Texas A&M; - 1.7%,6 Tennessee - 0.5%,6 Notre Dame - 0.2%
6 Marquette - 74.2%,4 Purdue - 33.1%,4 Vanderbilt - 6.5%,5 Butler - 1.6%,6 Notre Dame - 0.5%,4 Purdue - 0.2%
5 Butler - 70.6%,5 Temple - 29.1%,5 Butler - 5.7%,4 Maryland - 1.5%,5 Texas A&M; - 0.4%,5 Texas A&M; - 0.1%
9 Louisville - 70.2%,6 Notre Dame - 27.7%,5 Michigan State - 4.8%,8 Texas - 1.4%,4 Vanderbilt - 0.3%,7 Brigham Young - 0.1%
8 Texas - 68.3%,6 Xavier - 21.0%,7 Brigham Young - 4.6%,6 Tennessee - 1.2%,6 Marquette - 0.3%,8 Gonzaga - 0.1%
6 Xavier - 67.6%,6 Tennessee - 19.8%,6 Xavier - 4.5%,7 Brigham Young - 1.1%,5 Butler - 0.3%,5 Butler - 0.1%
5 Temple - 67.0%,9 Louisville - 12.8%,4 Maryland - 3.7%,6 Marquette - 1.0%,5 Temple - 0.2%,4 Vanderbilt - 0.1%
7 Brigham Young - 66.6%,13 Siena - 12.5%,8 Texas - 3.5%,6 Xavier - 0.9%,7 Brigham Young - 0.2%,10 Florida - 0.1%
8 Gonzaga - 66.6%,12 UTEP - 12.1%,8 Gonzaga - 2.9%,8 Gonzaga - 0.9%,8 Gonzaga - 0.2%,6 Marquette - 0.1%
4 Purdue - 63.5%,12 Cornell - 11.3%,5 Temple - 2.8%,5 Temple - 0.7%,6 Xavier - 0.2%,11 Washington - 0.1%
7 Richmond - 57.2%,7 Brigham Young - 9.6%,7 Oklahoma State - 2.1%,7 Richmond - 0.4%,10 Florida - 0.2%,10 Georgia Tech - 0.1%
9 Northern Iowa - 52.1%,11 Washington - 8.8%,7 Richmond - 1.8%,10 Florida - 0.4%,11 Washington - 0.1%,5 Temple - 0.1%
7 Clemson - 52.1%,7 Richmond - 7.9%,10 Georgia Tech - 1.5%,8 California - 0.3%,10 Georgia Tech - 0.1%,6 Xavier - 0.1%
7 Oklahoma State - 51.4%,12 Utah State - 7.7%,7 Clemson - 1.5%,11 Minnesota - 0.3%,7 Oklahoma State - 0.1%,11 Minnesota - 0.1%
10 Georgia Tech - 48.6%,7 Oklahoma State - 7.6%,11 Washington - 1.2%,7 Oklahoma State - 0.3%,8 California - 0.1%,10 Missouri - 0.1%
10 Missouri - 47.9%,11 Minnesota - 7.3%,11 Minnesota - 1.2%,10 Georgia Tech - 0.3%,11 Minnesota - 0.1%,16 AR-Pine Bluff - 0.1%
8 UNLV - 47.9%,10 Georgia Tech - 6.8%,10 Missouri - 1.2%,11 Washington - 0.3%,10 Missouri - 0.1%,7 Oklahoma State - 0.1%
10 Saint Mary's - 42.8%,8 Texas - 5.8%,13 Siena - 1.1%,7 Clemson - 0.3%,16 Lehigh - 0.1%,9 Florida State - 0.1%
13 Siena - 36.5%,8 Gonzaga - 5.7%,8 California - 1.1%,9 Florida State - 0.3%,12 Cornell - 0.1%,8 California - 0.1%
9 Florida State - 33.4%,13 Murray State - 4.8%,10 Florida - 1.1%,12 Cornell - 0.3%,7 Clemson - 0.1%,16 Lehigh - 0.0%
10 Florida - 33.4%,7 Clemson - 3.7%,12 Cornell - 1.0%,10 Missouri - 0.2%,16 AR-Pine Bluff - 0.1%,12 Cornell - 0.0%
