"","team_id","TeamLat","TeamLng","Team_Full"
"1",1101,32.471081,-99.707941,"Abilene Christian"
"2",1102,38.833882,-104.821363,"Air Force"
"3",1103,41.081445,-81.519005,"Akron"
"4",1104,33.209841,-87.569174,"Alabama"
"5",1105,34.788979,-86.571937,"Alabama A&m"
"6",1106,32.366805,-86.299969,"Alabama State"
"7",1107,42.687925,-73.823748,"Albany"
"8",1108,31.82044,-91.050106,"Alcorn State"
"9",1109,32.9042616,-117.1112435,"Alliant Intl"
"10",1110,38.895112,-77.036366,"American"
"11",1111,36.220364,-81.686965,"Appalachian State"
"12",1112,32.221743,-110.926479,"Arizona"
"13",1113,33.414768,-111.90931,"Arizona State"
"14",1114,34.746481,-92.289595,"Little Rock"
"15",1115,34.228431,-92.003196,"Arkansas Pine Bluff"
"16",1116,36.06258,-94.157426,"Arkansas"
"17",1117,35.842297,-90.704279,"Arkansas State"
"18",1118,31.977747,-81.162613,"Armstrong State"
"19",1119,41.391483,-73.955972,"Army"
"20",1120,32.609857,-85.480783,"Auburn"
"21",1121,33.475911,-82.023259,"Augusta"
"22",1122,36.529771,-87.359453,"Austin Peay"
"23",1123,40.193377,-85.38636,"Ball State"
"24",1124,31.549333,-97.14667,"Baylor"
"25",1125,36.16589,-86.784443,"Belmont"
"26",1126,29.210815,-81.022833,"Bethune Cookman"
"27",1127,42.09542,-75.967455,"Binghamton"
"28",1128,33.514863,-86.855912,"Birmingham Southern"
"29",1129,43.6135,-116.203451,"Boise State"
"30",1130,42.350384,-71.18644,"Boston College"
"31",1131,42.349705,-71.099955,"Boston University"
"32",1132,41.374774,-83.651323,"Bowling Green"
"33",1133,40.693649,-89.588986,"Bradley"
"34",1134,40.630995,-73.954412,"Brooklyn"
"35",1135,41.823989,-71.412834,"Brown"
"36",1136,41.922043,-71.549507,"Bryant"
"37",1137,40.964529,-76.88441,"Bucknell"
"38",1138,42.886447,-78.878369,"Buffalo"
"39",1139,39.844443,-86.165545,"Butler"
