Season,RankingDayNum,SystemName,TeamID,OrdinalRank
2018,133,7OT,1101,284
2018,133,7OT,1102,290
2018,133,7OT,1103,181
2018,133,7OT,1104,41
2018,133,7OT,1105,351
2018,133,7OT,1106,338
2018,133,7OT,1107,93
2018,133,7OT,1108,348
2018,133,7OT,1110,291
2018,133,7OT,1111,237
2018,133,7OT,1112,28
2018,133,7OT,1113,75
2018,133,7OT,1114,257
2018,133,7OT,1115,327
2018,133,7OT,1116,47
2018,133,7OT,1117,292
2018,133,7OT,1119,248
2018,133,7OT,1120,33
2018,133,7OT,1122,180
2018,133,7OT,1123,175
2018,133,7OT,1124,46
2018,133,7OT,1125,69
2018,133,7OT,1126,318
2018,133,7OT,1127,282
2018,133,7OT,1129,57
2018,133,7OT,1130,135
2018,133,7OT,1131,230
2018,133,7OT,1132,233
2018,133,7OT,1133,118
2018,133,7OT,1135,277
2018,133,7OT,1136,334
2018,133,7OT,1137,92
2018,133,7OT,1138,19
2018,133,7OT,1139,40
2018,133,7OT,1140,64
2018,133,7OT,1141,201
2018,133,7OT,1142,337
2018,133,7OT,1143,258
2018,133,7OT,1144,239
2018,133,7OT,1145,125
2018,133,7OT,1146,210
2018,133,7OT,1148,313
2018,133,7OT,1149,273
2018,133,7OT,1150,329
2018,133,7OT,1151,283
2018,133,7OT,1152,341
2018,133,7OT,1153,8
2018,133,7OT,1154,316
2018,133,7OT,1155,24
2018,133,7OT,1156,301
2018,133,7OT,1157,199
2018,133,7OT,1158,160
2018,133,7OT,1159,184
2018,133,7OT,1160,100
2018,133,7OT,1161,224
2018,133,7OT,1162,238
2018,133,7OT,1163,165
2018,133,7OT,1164,347
2018,133,7OT,1165,216
2018,133,7OT,1166,35
2018,133,7OT,1167,214
2018,133,7OT,1168,203
2018,133,7OT,1169,336
2018,133,7OT,1170,289
2018,133,7OT,1171,324
2018,133,7OT,1172,58
2018,133,7OT,1173,81
2018,133,7OT,1174,219
2018,133,7OT,1175,349
2018,133,7OT,1176,221
2018,133,7OT,1177,148
2018,133,7OT,1178,308
2018,133,7OT,1179,196
2018,133,7OT,1180,304
2018,133,7OT,1181,5
2018,133,7OT,1182,198
2018,133,7OT,1183,264
2018,133,7OT,1184,298
2018,133,7OT,1185,123
2018,133,7OT,1186,137
2018,133,7OT,1187,296
2018,133,7OT,1188,309
2018,133,7OT,1189,217
2018,133,7OT,1190,55
2018,133,7OT,1191,87
2018,133,7OT,1192,261
2018,133,7OT,1193,178
2018,133,7OT,1194,293
2018,133,7OT,1195,114
2018,133,7OT,1196,12
2018,133,7OT,1197,344
2018,133,7OT,1198,250
2018,133,7OT,1199,48
2018,133,7OT,1200,254
2018,133,7OT,1201,72
2018,133,7OT,1202,67
2018,133,7OT,1203,156
2018,133,7OT,1204,166
2018,133,7OT,1205,222
2018,133,7OT,1206,223
2018,133,7OT,1207,133
2018,133,7OT,1208,119
2018,133,7OT,1209,73
2018,133,7OT,1210,146
2018,133,7OT,1211,7
2018,133,7OT,1212,331
2018,133,7OT,1213,94
2018,133,7OT,1214,194
2018,133,7OT,1216,218
2018,133,7OT,1217,169
2018,133,7OT,1218,164
2018,133,7OT,1219,266
2018,133,7OT,1220,155
2018,133,7OT,1221,246
2018,133,7OT,1222,14
2018,133,7OT,1223,328
2018,133,7OT,1224,342
2018,133,7OT,1225,205
2018,133,7OT,1226,272
2018,133,7OT,1227,209
2018,133,7OT,1228,130
2018,133,7OT,1229,111
2018,133,7OT,1230,306
2018,133,7OT,1231,124
2018,133,7OT,1232,188
2018,133,7OT,1233,101
2018,133,7OT,1234,147
2018,133,7OT,1235,142
2018,133,7OT,1236,191
2018,133,7OT,1237,294
2018,133,7OT,1238,343
2018,133,7OT,1239,303
2018,133,7OT,1240,139
2018,133,7OT,1241,255
2018,133,7OT,1242,6
2018,133,7OT,1243,50
2018,133,7OT,1244,321
2018,133,7OT,1245,163
2018,133,7OT,1246,15
2018,133,7OT,1247,140
2018,133,7OT,1248,252
2018,133,7OT,1249,215
2018,133,7OT,1250,195
2018,133,7OT,1251,152
2018,133,7OT,1252,116
2018,133,7OT,1253,197
2018,133,7OT,1254,240
2018,133,7OT,1255,314
2018,133,7OT,1256,121
2018,133,7OT,1257,32
2018,133,7OT,1258,270
2018,133,7OT,1259,311
2018,133,7OT,1260,56
2018,133,7OT,1261,108
2018,133,7OT,1262,263
2018,133,7OT,1263,339
2018,133,7OT,1264,231
2018,133,7OT,1265,297
2018,133,7OT,1266,44
2018,133,7OT,1267,98
2018,133,7OT,1268,36
2018,133,7OT,1269,247
2018,133,7OT,1270,295
2018,133,7OT,1271,346
2018,133,7OT,1272,143
2018,133,7OT,1273,189
2018,133,7OT,1274,27
2018,133,7OT,1275,192
2018,133,7OT,1276,26
2018,133,7OT,1277,22
2018,133,7OT,1278,149
2018,133,7OT,1279,144
2018,133,7OT,1280,103
2018,133,7OT,1281,43
2018,133,7OT,1282,235
2018,133,7OT,1283,109
2018,133,7OT,1284,153
2018,133,7OT,1285,90
2018,133,7OT,1286,279
2018,133,7OT,1287,278
2018,133,7OT,1288,332
2018,133,7OT,1290,350
2018,133,7OT,1291,256
2018,133,7OT,1292,23
2018,133,7OT,1293,52
2018,133,7OT,1294,82
2018,133,7OT,1295,202
2018,133,7OT,1296,271
2018,133,7OT,1297,60
2018,133,7OT,1298,176
2018,133,7OT,1299,305
2018,133,7OT,1300,312
2018,133,7OT,1301,88
2018,133,7OT,1303,285
2018,133,7OT,1304,89
2018,133,7OT,1305,9
2018,133,7OT,1306,259
