CityID,City,State,Lat,Lng,ElevationMeters,TimezoneName,UTCOffsetHours
4001,Abilene,TX,32.4487364,-99.73314390000002,520.9115600585938,Central Daylight Time,-5.0
4002,Akron,OH,41.0814447,-81.51900529999999,292.6947631835938,Eastern Daylight Time,-4.0
4003,Albany,NY,42.6525793,-73.7562317,42.68008041381836,Eastern Daylight Time,-4.0
4004,Albuquerque,NM,35.0853336,-106.6055534,1583.1875,Mountain Daylight Time,-6.0
4005,Allentown,PA,40.6084305,-75.4901833,104.9155654907227,Eastern Daylight Time,-4.0
4006,Ames,IA,42.0307812,-93.63191309999999,274.2550659179688,Central Daylight Time,-5.0
4007,Amherst,MA,42.3732216,-72.5198537,95.78414916992188,Eastern Daylight Time,-4.0
4008,Anaheim,CA,33.8365932,-117.9143012,47.60859680175781,Pacific Daylight Time,-7.0
4009,Anchorage,AK,61.2180556,-149.9002778,33.1964111328125,Alaska Daylight Time,-8.0
4010,Ann Arbor,MI,42.2808256,-83.7430378,263.4928283691406,Eastern Daylight Time,-4.0
4011,Annapolis,MD,38.9784453,-76.4921829,13.44588470458984,Eastern Daylight Time,-4.0
4012,Arlington,TX,32.735687,-97.10806559999999,185.2654876708984,Central Daylight Time,-5.0
4013,Asheville,NC,35.5950581,-82.5514869,676.4351806640625,Eastern Daylight Time,-4.0
4014,Athens,GA,33.9519347,-83.357567,213.8323516845703,Eastern Daylight Time,-4.0
4015,Athens,OH,39.3292396,-82.1012554,219.3882598876953,Eastern Daylight Time,-4.0
4016,Atlanta,GA,33.7489954,-84.3879824,320.0387878417969,Eastern Daylight Time,-4.0
4017,Atlantic City,NJ,39.3642834,-74.4229266,3.922453641891479,Eastern Daylight Time,-4.0
4018,Auburn,AL,32.6098566,-85.48078249999999,215.4762725830078,Central Daylight Time,-5.0
4019,Auburn Hills,MI,42.6875323,-83.2341028,292.1078796386719,Eastern Daylight Time,-4.0
4020,Austin,TX,30.267153,-97.7430608,149.1394653320312,Central Daylight Time,-5.0
4021,Bakersfield,CA,35.3732921,-119.0187125,122.5372314453125,Pacific Daylight Time,-7.0
4022,Baltimore,MD,39.2903848,-76.6121893,10.96754741668701,Eastern Daylight Time,-4.0
4023,Bangor,ME,44.80118210000001,-68.77781379999999,35.3848991394043,Eastern Daylight Time,-4.0
4024,Baton Rouge,LA,30.4582829,-91.1403196,15.10886287689209,Central Daylight Time,-5.0
4025,Bayamon,PR,18.389396,-66.1653224,30.27177429199219,Atlantic Standard Time,-4.0
4026,Beaumont,TX,30.080174,-94.1265562,5.101345539093018,Central Daylight Time,-5.0
4027,Berkeley,CA,37.8715926,-122.272747,51.61442184448242,Pacific Daylight Time,-7.0
4028,Bethlehem,PA,40.6259316,-75.37045789999999,110.9742736816406,Eastern Daylight Time,-4.0
4029,Billings,MT,45.7832856,-108.5006904,951.3828735351562,Mountain Daylight Time,-6.0
4030,Birmingham,AL,33.5206608,-86.80248999999999,186.2443695068359,Central Daylight Time,-5.0
4031,Blacksburg,VA,37.2295733,-80.4139393,634.6715087890625,Eastern Daylight Time,-4.0
4032,Bloomington,IN,39.165325,-86.52638569999999,233.7287750244141,Eastern Daylight Time,-4.0
4033,Boca Raton,FL,26.3683064,-80.1289321,6.029303550720215,Eastern Daylight Time,-4.0
4034,Boiling Springs,NC,35.254292,-81.6670407,269.4201354980469,Eastern Daylight Time,-4.0
4035,Boise,ID,43.6187102,-116.2146068,817.1220703125,Mountain Daylight Time,-6.0
4036,Boone,NC,36.216795,-81.6745517,980.9765625,Eastern Daylight Time,-4.0
4037,Borinquen,PR,18.220833,-66.590149,454.5361328125,Atlantic Standard Time,-4.0
4038,Bossier City,LA,32.5159852,-93.7321228,53.01473999023438,Central Daylight Time,-5.0
4039,Boston,MA,42.3600825,-71.0588801,10.44776248931885,Eastern Daylight Time,-4.0
4040,Boulder,CO,40.0149856,-105.2705456,1623.977416992188,Mountain Daylight Time,-6.0
4041,Bowling Green,KY,36.9685219,-86.4808043,160.5126342773438,Central Daylight Time,-5.0
4042,Bowling Green,OH,41.3747744,-83.6513229,210.7506256103516,Eastern Daylight Time,-4.0
4043,Bozeman,MT,45.6769979,-111.0429339,1473.49462890625,Mountain Daylight Time,-6.0
4044,Bridgeport,CT,41.1865478,-73.19517669999999,12.55598068237305,Eastern Daylight Time,-4.0
4045,Bronx,NY,40.8447819,-73.8648268,14.44775772094727,Eastern Daylight Time,-4.0
4046,Brookings,SD,44.3113573,-96.79838769999999,493.9803161621094,Central Daylight Time,-5.0
4047,Brooklyn,NY,40.6781784,-73.9441579,18.05331420898438,Eastern Daylight Time,-4.0
4048,Brooklyn Heights,NY,40.6960105,-73.9932872,27.11715507507324,Eastern Daylight Time,-4.0
4049,Buffalo,NY,42.88644679999999,-78.8783689,182.8298187255859,Eastern Daylight Time,-4.0
4050,Buies Creek,NC,35.4132168,-78.7355728,63.27493286132812,Eastern Daylight Time,-4.0
4051,Burlington,VT,44.4758825,-73.21207199999999,59.67926025390625,Eastern Daylight Time,-4.0
4052,Cambridge,MA,42.3736158,-71.10973349999999,6.376087188720703,Eastern Daylight Time,-4.0
4053,Cancun,MX,21.161908,-86.8515279,12.89237785339355,Central Standard Time,-6.0
4054,Cape Girardeau,MO,37.3058839,-89.51814759999999,107.4340057373047,Central Daylight Time,-5.0
4055,Carbondale,IL,37.7272727,-89.2167501,126.3381576538086,Central Daylight Time,-5.0
4056,Casper,WY,42.866632,-106.313081,1555.769897460938,Mountain Daylight Time,-6.0
4057,Cedar City,UT,37.67747689999999,-113.0618931,1782.531494140625,Mountain Daylight Time,-6.0
4058,Cedar Falls,IA,42.5348993,-92.4453161,262.4496765136719,Central Daylight Time,-5.0
4059,Cedar Park,TX,30.505198,-97.8202888,276.2288513183594,Central Daylight Time,-5.0
