Midwest,1,,Kentucky,v
>99%,,,,
94%,,,,
86%,,,,
73%,,,,
54%,,,,
41%,,,,
East,1,,Villanova,v
98%,,,,
84%,,,,
70%,,,,
46%,,,,
29%,,,,
11%,,,,
West,2,,Arizona,v
99%,,,,
82%,,,,
70%,,,,
46%,,,,
17%,,,,
10%,,,,
West,1,,Wisconsin,v
98%,,,,
85%,,,,
63%,,,,
32%,,,,
15%,,,,
10%,,,,
East,2,,Virginia,v
96%,,,,
73%,,,,
53%,,,,
27%,,,,
17%,,,,
7%,,,,
South,1,,Duke,v
98%,,,,
84%,,,,
56%,,,,
33%,,,,
17%,,,,
6%,,,,
South,2,,Gonzaga,v
97%,,,,
80%,,,,
47%,,,,
24%,,,,
10%,,,,
3%,,,,
South,3,,Iowa State,v
91%,,,,
64%,,,,
32%,,,,
15%,,,,
7%,,,,
2%,,,,
Midwest,3,,Notre Dame,v
90%,,,,
57%,,,,
32%,,,,
8%,,,,
3%,,,,
1%,,,,
South,5,,Utah,v
82%,,,,
62%,,,,
27%,,,,
13%,,,,
5%,,,,
1%,,,,
West,4,,North Carolina,v
86%,,,,
62%,,,,
23%,,,,
8%,,,,
2%,,,,
1%,,,,
East,3,,Oklahoma,v
90%,,,,
58%,,,,
22%,,,,
8%,,,,
4%,,,,
1%,,,,
Midwest,2,,Kansas,v
89%,,,,
53%,,,,
28%,,,,
6%,,,,
2%,,,,
1%,,,,
East,7,,Michigan State,v
62%,,,,
18%,,,,
10%,,,,
4%,,,,
2%,,,,
<1%,,,,
Midwest,7,,Wichita State,v
72%,,,,
36%,,,,
17%,,,,
3%,,,,
1%,,,,
<1%,,,,
East,4,,Louisville,v
74%,,,,
41%,,,,
11%,,,,
4%,,,,
2%,,,,
<1%,,,,
West,3,,Baylor,v
76%,,,,
47%,,,,
12%,,,,
5%,,,,
1%,,,,
<1%,,,,
West,10,,Ohio State,v
64%,,,,
13%,,,,
7%,,,,
3%,,,,
<1%,,,,
<1%,,,,
East,5,,N. Iowa,v
75%,,,,
42%,,,,
10%,,,,
4%,,,,
1%,,,,
<1%,,,,
Midwest,5,,West Virginia,v
68%,,,,
39%,,,,
5%,,,,
3%,,,,
<1%,,,,
<1%,,,,
South,6,,SMU,v
64%,,,,
24%,,,,
10%,,,,
4%,,,,
1%,,,,
<1%,,,,
Midwest,11,,Texas,v
54%,,,,
23%,,,,
11%,,,,
2%,,,,
<1%,,,,
<1%,,,,
Midwest,6,,Butler,v
46%,,,,
18%,,,,
8%,,,,
1%,,,,
<1%,,,,
<1%,,,,
South,4,,Georgetown,v
77%,,,,
26%,,,,
8%,,,,
3%,,,,
<1%,,,,
<1%,,,,
Midwest,4,,Maryland,v
72%,,,,
38%,,,,
5%,,,,
2%,,,,
<1%,,,,
<1%,,,,
South,7,,Iowa,v
62%,,,,
14%,,,,
6%,,,,
2%,,,,
<1%,,,,
<1%,,,,
West,5,,Arkansas,v
76%,,,,
28%,,,,
8%,,,,
2%,,,,
<1%,,,,
<1%,,,,
East,6,,Providence,v
51%,,,,
21%,,,,
7%,,,,
2%,,,,
<1%,,,,
<1%,,,,
West,6,,Xavier,v
57%,,,,
27%,,,,
5%,,,,
1%,,,,
<1%,,,,
<1%,,,,
East,8,,North Carolina State,v
59%,,,,
10%,,,,
6%,,,,
2%,,,,
<1%,,,,
<1%,,,,
Midwest,8,,Cincinnati,v
54%,,,,
3%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
South,8,,San Diego State,v
58%,,,,
10%,,,,
4%,,,,
2%,,,,
<1%,,,,
<1%,,,,
East,11b,,Dayton,v
49%,,,,
19%,,,,
4%,,,,
1%,,,,
<1%,,,,
<1%,,,,
Midwest,10,,Indiana,v
28%,,,,
9%,,,,
3%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
Midwest,9,,Purdue,v
46%,,,,
3%,,,,
1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
East,10,,Georgia,v
38%,,,,
8%,,,,
3%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
West,9,,Oklahoma State,v
59%,,,,
10%,,,,
4%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
West,7,,Virginia Commonwealth,v
36%,,,,
5%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
East,9,,Louisiana State,v
41%,,,,
5%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
South,10,,Davidson,v
38%,,,,
6%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
West,11b,,Mississippi,v
43%,,,,
18%,,,,
3%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
South,12,,Stephen F. Austin,v
18%,,,,
8%,,,,
3%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
South,11,,UCLA,v
36%,,,,
9%,,,,
3%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
Midwest,12,,Buffalo,v
32%,,,,
13%,,,,
1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
West,8,,Oregon,v
41%,,,,
5%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
South,9,,St. John's,v
42%,,,,
5%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
Midwest,13,,Valparaiso,v
28%,,,,
10%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
West,14,,Georgia State,v
24%,,,,
9%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
West,13,,Harvard,v
14%,,,,
5%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
East,12,,Wyoming,v
25%,,,,
8%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
East,13,,UC Irvine,v
26%,,,,
8%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
West,12,,Wofford,v
24%,,,,
4%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
Midwest,15,,New Mexico State,v
11%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
South,14,,UAB,v
9%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
East,14,,Albany,v
10%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
Midwest,14,,Northeastern,v
10%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
East,15,,Belmont,v
4%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
South,13,,Eastern Washington,v
23%,,,,
3%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
South,15,,North Dakota State,v
3%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
South,16b,,RMU,v
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
East,16,,Lafayette,v
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
West,16,,Coastal Carolina,v
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
West,15,,Texas Southern,v
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
Midwest,16b,,Hampton,v
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
East,11a,,Boise State,
–,,,,
–,,,,
–,,,,
–,,,,
–,,,,
–,,,,
West,11a,,BYU,
–,,,,
–,,,,
–,,,,
–,,,,
–,,,,
–,,,,
Midwest,16a,,Manhattan,
–,,,,
–,,,,
–,,,,
–,,,,
–,,,,
–,,,,
South,16a,,UNF,
–,,,,
–,,,,
–,,,,
–,,,,
–,,,,
–,,,,
