Round of 64,Round of 32,Sweet 16,Elite 8,Final 4,Championship Game
1 Ohio State - 99.5%,1 Kansas - 96.1%,1 Kansas - 79.8%,1 Kansas - 61.6%,1 Kansas - 49.0%,1 Ohio State - 25.9%
1 Duke - 99.5%,1 Ohio State - 94.6%,1 Ohio State - 78.6%,1 Ohio State - 59.5%,1 Ohio State - 39.2%,1 Kansas - 23.7%
1 Pittsburgh - 99.3%,1 Duke - 94.4%,1 Duke - 74.3%,1 Duke - 50.7%,1 Duke - 25.8%,1 Duke - 16.0%
1 Kansas - 99.1%,1 Pittsburgh - 91.5%,1 Pittsburgh - 70.6%,1 Pittsburgh - 50.4%,1 Pittsburgh - 17.4%,1 Pittsburgh - 6.2%
2 North Carolina - 99.0%,2 Notre Dame - 86.7%,3 Connecticut - 59.1%,3 Connecticut - 23.1%,2 Notre Dame - 11.3%,3 Connecticut - 4.7%
2 Notre Dame - 98.6%,3 Connecticut - 84.8%,2 Notre Dame - 55.7%,2 Notre Dame - 19.1%,3 Connecticut - 9.3%,2 North Carolina - 4.0%
2 Florida - 98.4%,2 San Diego State - 83.0%,2 North Carolina - 45.7%,2 North Carolina - 16.2%,2 North Carolina - 7.3%,2 Notre Dame - 3.5%
2 San Diego State - 97.8%,2 North Carolina - 81.6%,3 Syracuse - 42.7%,2 Florida - 15.9%,3 Syracuse - 4.7%,3 Syracuse - 2.1%
3 Purdue - 97.2%,3 Syracuse - 78.8%,2 Florida - 41.3%,3 Syracuse - 12.4%,2 Florida - 4.3%,4 Kentucky - 1.8%
3 Syracuse - 97.0%,4 Louisville - 76.0%,2 San Diego State - 33.4%,2 San Diego State - 12.0%,4 Louisville - 4.3%,2 San Diego State - 1.8%
3 Connecticut - 96.6%,4 Kentucky - 74.7%,3 Purdue - 31.3%,3 Brigham Young - 10.4%,2 San Diego State - 4.0%,4 Texas - 1.8%
4 Louisville - 95.5%,2 Florida - 72.1%,3 Brigham Young - 26.4%,4 Texas - 10.2%,4 Texas - 3.6%,2 Florida - 1.3%
4 Kentucky - 95.2%,3 Purdue - 69.8%,4 Texas - 18.6%,4 Louisville - 8.4%,4 Kentucky - 3.3%,4 Louisville - 1.2%
3 Brigham Young - 94.6%,4 Texas - 65.5%,6 St. John's - 17.8%,4 Kentucky - 8.0%,3 Brigham Young - 3.2%,3 Brigham Young - 1.0%
