Round of 64,Round of 32,Sweet 16,Elite 8,Final 4,Championship Game
1 Louisville - 99.6%,1 Louisville - 95.9%,1 North Carolina - 83.9%,1 Louisville - 63.2%,1 North Carolina - 40.7%,1 North Carolina - 27.2%
1 North Carolina - 99.5%,1 Connecticut - 95.7%,1 Pittsburgh - 83.2%,1 North Carolina - 60.6%,1 Louisville - 39.1%,1 Louisville - 18.2%
1 Connecticut - 99.4%,1 North Carolina - 94.8%,1 Connecticut - 80.4%,1 Pittsburgh - 59.2%,1 Pittsburgh - 29.2%,1 Pittsburgh - 17.2%
1 Pittsburgh - 99.4%,1 Pittsburgh - 93.6%,1 Louisville - 79.5%,2 Memphis - 47.6%,2 Memphis - 23.1%,2 Memphis - 9.8%
2 Memphis - 99.4%,2 Memphis - 91.4%,2 Memphis - 72.5%,1 Connecticut - 37.0%,1 Connecticut - 18.9%,1 Connecticut - 7.1%
2 Oklahoma - 99.1%,2 Oklahoma - 84.7%,2 Oklahoma - 49.2%,2 Duke - 19.9%,2 Oklahoma - 9.4%,2 Oklahoma - 4.4%
2 Duke - 99.0%,2 Duke - 83.6%,2 Duke - 48.6%,2 Oklahoma - 18.6%,2 Duke - 7.0%,2 Duke - 3.5%
2 Michigan State - 98.9%,3 Syracuse - 80.8%,2 Michigan State - 45.7%,2 Michigan State - 13.5%,2 Michigan State - 5.9%,3 Syracuse - 2.3%
3 Syracuse - 98.2%,2 Michigan State - 80.7%,3 Syracuse - 41.8%,3 Syracuse - 12.8%,3 Syracuse - 5.2%,2 Michigan State - 2.2%
3 Villanova - 97.8%,4 Wake Forest - 74.5%,3 Villanova - 37.8%,3 Villanova - 12.1%,3 Kansas - 3.4%,3 Kansas - 1.1%
3 Missouri - 97.2%,3 Villanova - 74.0%,3 Kansas - 35.0%,4 Wake Forest - 9.5%,4 Wake Forest - 3.3%,3 Villanova - 1.1%
4 Gonzaga - 96.0%,4 Gonzaga - 68.8%,3 Missouri - 18.2%,3 Kansas - 9.4%,3 Villanova - 3.1%,4 Wake Forest - 0.9%
3 Kansas - 94.8%,3 Missouri - 67.5%,4 Wake Forest - 16.4%,3 Missouri - 7.8%,3 Missouri - 2.3%,3 Missouri - 0.8%
4 Wake Forest - 93.3%,3 Kansas - 64.2%,6 West Virginia - 13.2%,4 Gonzaga - 4.7%,4 Gonzaga - 1.5%,4 Gonzaga - 0.6%
4 Xavier - 92.0%,5 Purdue - 49.7%,4 Gonzaga - 11.2%,6 UCLA - 2.2%,4 Washington - 0.7%,6 UCLA - 0.4%
5 Purdue - 89.3%,5 Florida State - 48.0%,5 Purdue - 8.8%,5 Purdue - 2.1%,6 UCLA - 0.7%,4 Washington - 0.3%
6 West Virginia - 83.1%,4 Xavier - 43.7%,4 Washington - 7.7%,4 Washington - 2.1%,6 West Virginia - 0.6%,6 West Virginia - 0.3%
5 Florida State - 78.9%,4 Washington - 38.6%,6 UCLA - 7.4%,5 Florida State - 2.0%,5 Purdue - 0.6%,5 Florida State - 0.2%
7 Texas - 75.0%,6 West Virginia - 31.6%,5 Florida State - 7.0%,6 West Virginia - 1.9%,5 Florida State - 0.5%,5 Purdue - 0.2%
6 Arizona State - 74.2%,6 Marquette - 26.4%,4 Xavier - 6.0%,4 Xavier - 1.7%,4 Xavier - 0.4%,7 Texas - 0.2%
4 Washington - 74.1%,5 Illinois - 21.9%,6 Marquette - 5.3%,6 Marquette - 1.4%,6 Marquette - 0.4%,10 Michigan - 0.2%
6 Marquette - 74.1%,6 UCLA - 21.4%,7 Texas - 4.4%,7 Texas - 1.2%,7 Texas - 0.4%,8 Ohio State - 0.1%
6 UCLA - 71.6%,6 Arizona State - 15.5%,6 Arizona State - 4.1%,6 Arizona State - 0.7%,10 Maryland - 0.3%,9 Tennessee - 0.1%
7 Clemson - 63.4%,5 Utah - 14.4%,7 Clemson - 2.9%,10 Maryland - 0.7%,6 Arizona State - 0.2%,4 Xavier - 0.1%
10 Maryland - 62.8%,7 Texas - 13.4%,7 Boston College - 2.9%,9 Tennessee - 0.6%,8 Ohio State - 0.2%,10 Maryland - 0.1%
5 Illinois - 61.0%,7 Boston College - 10.4%,10 Maryland - 2.3%,5 Illinois - 0.6%,5 Illinois - 0.2%,8 LSU - 0.1%
8 Ohio State - 60.3%,7 Clemson - 10.3%,10 USC - 2.3%,7 Clemson - 0.5%,9 Tennessee - 0.2%,5 Illinois - 0.1%
