R64,R32,S16,E8,F4,NCG
1Duke-97.7%,1Duke-94.4%,1Duke-87.1%,1Duke-70.3%,1Duke-55.5%,1Duke-38.2%
1North Carolina-97.2%,1North Carolina-92.4%,1North Carolina-77.6%,1North Carolina-56.5%,1North Carolina-36.5%,1North Carolina-15.4%
1Gonzaga-97.0%,1Virginia-89.6%,1Virginia-74.5%,1Gonzaga-42.2%,1Virginia-20.7%,1Gonzaga-8.5%
1Virginia-96.6%,2Kentucky-84.1%,2Michigan State-65.4%,1Virginia-42.1%,1Gonzaga-14.8%,1Virginia-7.7%
2Kentucky-96.4%,1Gonzaga-83.1%,1Gonzaga-63.5%,2Tennessee-32.2%,2Kentucky-13.2%,2Kentucky-5.2%
2Michigan State-95.9%,2Michigan State-82.7%,2Kentucky-62.7%,2Michigan-26.4%,2Tennessee-12.5%,2Michigan State-5.0%
2Tennessee-95.7%,2Tennessee-81.2%,2Tennessee-58.3%,2Kentucky-22.2%,2Michigan State-10.4%,2Tennessee-4.4%
2Michigan-95.6%,2Michigan-77.3%,2Michigan-55.4%,2Michigan State-17.4%,2Michigan-6.8%,2Michigan-3.3%
3Texas Tech-91.7%,3Texas Tech-66.1%,3Texas Tech-25.1%,3Texas Tech-10.0%,3Houston-2.4%,4Kansas-0.9%
3Houston-90.8%,4Virginia Tech-65.0%,4Florida St-19.7%,4Florida St-9.0%,3Purdue-2.2%,3Texas Tech-0.8%
3Purdue-89.8%,3LSU-60.2%,3Houston-19.1%,3Purdue-7.1%,3Texas Tech-2.1%,3Houston-0.8%
4Kansas-89.1%,4Florida St-59.5%,3LSU-19.0%,6Villanova-6.4%,4Kansas-2.1%,3Purdue-0.8%
4Florida St-88.1%,3Houston-58.5%,3Purdue-17.3%,3Houston-5.9%,6Villanova-2.0%,6Villanova-0.7%
4Virginia Tech-87.2%,3Purdue-50.1%,6Villanova-14.5%,4Kansas-4.1%,4Florida St-1.7%,3LSU-0.7%
3LSU-83.6%,4Kansas-47.9%,4Kansas State-9.0%,5Auburn-4.0%,5Auburn-1.7%,4Florida St-0.7%
5Auburn-81.6%,5Auburn-43.3%,4Kansas-8.8%,3LSU-3.7%,3LSU-1.7%,5Auburn-0.7%
6Buffalo-80.5%,4Kansas State-43.3%,5Auburn-8.6%,4Kansas State-3.0%,4Virginia Tech-1.0%,4Virginia Tech-0.4%
4Kansas State-80.1%,6Villanova-39.6%,6Iowa State-8.5%,4Virginia Tech-2.7%,5Wisconsin-0.8%,5Wisconsin-0.3%
6Villanova-76.6%,5Wisconsin-32.4%,6Buffalo-7.6%,5Wisconsin-2.5%,4Kansas State-0.8%,8Syracuse-0.3%
5Mississippi St-74.7%,6Iowa State-29.5%,5Wisconsin-7.3%,6Iowa State-2.1%,6Iowa State-0.8%,6Iowa State-0.3%
6Maryland-74.0%,6Buffalo-27.2%,4Virginia Tech-6.8%,5Marquette-2.1%,8Syracuse-0.6%,4Kansas State-0.3%
6Iowa State-71.3%,6Maryland-26.0%,7Louisville-6.0%,8Syracuse-2.0%,5Marquette-0.5%,5Marquette-0.2%
8Syracuse-66.7%,5Mississippi St-24.9%,5Marquette-5.5%,6Buffalo-2.0%,7Louisville-0.5%,6Buffalo-0.2%
7Louisville-66.4%,5Marquette-23.0%,7Nevada-5.4%,7Nevada-1.7%,6Buffalo-0.5%,7Louisville-0.2%
7Cincinnati-66.0%,12Oregon-18.2%,6Maryland-5.2%,7Cincinnati-1.7%,7Wofford-0.4%,12Oregon-0.2%
5Wisconsin-60.7%,12Murray State-13.7%,8Syracuse-5.1%,12Oregon-1.2%,12Oregon-0.4%,12Murray State-0.2%
5Marquette-57.8%,7Cincinnati-12.1%,7Cincinnati-4.9%,10Florida-1.2%,7Cincinnati-0.4%,7Wofford-0.2%
9UCF-54.7%,8Syracuse-11.8%,10Florida-4.0%,12Murray State-1.2%,7Nevada-0.4%,10Florida-0.2%
7Wofford-53.7%,7Nevada-11.8%,7Wofford-3.8%,7Louisville-1.2%,10Florida-0.4%,11Ohio State-0.2%
8Ole Miss-51.4%,7Louisville-11.7%,12Oregon-3.6%,7Wofford-1.2%,12Murray State-0.4%,6Maryland-0.2%
7Nevada-50.7%,10Florida-9.2%,12Murray State-3.0%,6Maryland-0.9%,6Maryland-0.4%,7Nevada-0.2%
8Utah State-50.7%,11Ohio State-9.1%,11Ohio State-2.1%,5Mississippi St-0.7%,11Ohio State-0.3%,7Cincinnati-0.2%
9Washington-49.3%,7Wofford-9.0%,5Mississippi St-2.1%,11Ohio State-0.7%,16NDS/NCC-0.3%,16Gardner-Webb-0.2%
10Florida-49.3%,11Belmont-8.1%,10Seton Hall-2.0%,9Oklahoma-0.6%,5Mississippi St-0.3%,16Iona-0.2%
9Oklahoma-48.6%,11Saint Mary's-7.6%,9Oklahoma-1.8%,9Baylor-0.6%,16Gardner-Webb-0.3%,5Mississippi St-0.1%
10Seton Hall-46.3%,13UC Irvine-6.2%,8Ole Miss-1.8%,16Gardner-Webb-0.6%,16Iona-0.3%,9Oklahoma-0.1%
8VCU-45.3%,12New Mexico St-6.0%,11Saint Mary's-1.7%,11Saint Mary's-0.6%,9Oklahoma-0.2%,9Washington-0.1%
12Murray State-42.3%,14Yale-5.7%,9Baylor-1.6%,8Ole Miss-0.5%,9Washington-0.2%,8Utah State-0.1%
12Oregon-39.3%,12Liberty-5.4%,10Iowa-1.6%,10Seton Hall-0.5%,10Seton Hall-0.2%,9UCF-0.1%
