R64,R32,S16,E8,F4,NCG
1Louisville-99.1%,1Louisville-94.6%,1Louisville-81.8%,1Louisville-52.6%,1Louisville-39.7%,1Louisville-21.9%
1Indiana-99.0%,1Indiana-91.4%,1Indiana-73.7%,1Indiana-46.7%,1Indiana-32.3%,1Indiana-17.9%
1Kansas-98.6%,2Miami (FL)-89.7%,2Miami (FL)-72.7%,2Ohio State-44.2%,2Miami (FL)-22.1%,2Miami (FL)-10.7%
1Gonzaga-98.5%,2Georgetown-88.9%,2Ohio State-68.1%,2Miami (FL)-35.3%,2Duke-16.4%,1Kansas-8.3%
2Miami (FL)-98.5%,2Ohio State-86.8%,1Kansas-57.5%,1Kansas-33.9%,1Kansas-15.4%,2Duke-7.9%
2Duke-98.4%,2Duke-86.3%,1Gonzaga-50.9%,1Gonzaga-27.2%,2Ohio State-14.0%,2Ohio State-6.2%
2Ohio State-98.2%,1Kansas-85.0%,2Georgetown-49.3%,2Georgetown-23.5%,1Gonzaga-10.8%,1Gonzaga-5.6%
2Georgetown-97.7%,1Gonzaga-83.6%,2Duke-49.1%,2Duke-23.4%,3Michigan St-8.0%,2Georgetown-3.5%
3Florida-97.6%,3Michigan St-81.5%,3Florida-42.0%,3Florida-20.4%,2Georgetown-7.9%,3Florida-3.1%
3Michigan St-95.9%,3Florida-78.8%,3Michigan St-41.4%,3Michigan St-15.0%,3Florida-6.9%,3Michigan St-3.0%
3New Mexico-94.4%,4Syracuse-75.2%,5Wisconsin-28.9%,4Michigan-13.3%,4Michigan-4.9%,4Michigan-2.7%
4Syracuse-94.2%,3New Mexico-63.9%,4Michigan-25.6%,3New Mexico-9.1%,4Syracuse-3.5%,4Syracuse-1.5%
4Kansas State-93.9%,4Michigan-63.1%,4Syracuse-19.1%,5Wisconsin-9.0%,5Wisconsin-2.2%,5Wisconsin-0.8%
4Michigan-92.6%,5Wisconsin-54.7%,3New Mexico-19.0%,4Syracuse-8.1%,3New Mexico-2.0%,8UNC-0.7%
5VCU-89.7%,4Saint Louis-53.0%,3Marquette-13.3%,4Kansas State-4.0%,4Saint Louis-1.6%,3New Mexico-0.7%
4Saint Louis-88.9%,3Marquette-52.6%,4Kansas State-12.8%,3Marquette-3.7%,3Marquette-1.3%,4Saint Louis-0.5%
3Marquette-85.7%,6Butler-37.9%,5VCU-9.9%,4Saint Louis-3.7%,4Kansas State-1.0%,3Marquette-0.4%
6Butler-80.1%,4Kansas State-36.0%,4Saint Louis-9.7%,5VCU-3.6%,8UNC-1.0%,5VCU-0.4%
5Wisconsin-80.0%,5VCU-33.2%,6Butler-8.7%,6Butler-2.3%,5VCU-0.9%,6Butler-0.3%
6Memphis-79.9%,6Arizona-29.4%,6Arizona-5.7%,8UNC-2.1%,6Butler-0.9%,4Kansas State-0.3%
5UNLV-74.7%,5Oklahoma St-28.8%,8UNC-4.7%,6Arizona-2.0%,6Arizona-0.6%,6Arizona-0.3%
6Arizona-74.3%,5UNLV-19.2%,6Memphis-4.6%,7Notre Dame-1.4%,5Oklahoma St-0.5%,8NC State-0.3%
8NC State-69.6%,12Oregon-15.5%,7Notre Dame-4.2%,6Memphis-1.2%,6Memphis-0.5%,6Memphis-0.2%
